coarse_cell_id	landuse	restored_ha
35575	ForestDryPoor	2.61000000
35580	ForestDryPoor	2.68000000
35582	ForestDryPoor	3.92000000
35854	ForestDryPoor	1.68000000
35855	ForestDryPoor	3.43000000
35856	ForestDryPoor	3.02000000
35857	ForestDryPoor	1.26000000
35867	ForestDryPoor	1.73000000
35868	ForestDryPoor	3.77000000
35869	ForestDryPoor	3.31000000
35874	ForestDryPoor	1.56000000
35876	ForestDryPoor	3.39000000
35877	ForestDryPoor	2.25000000
35878	ForestDryPoor	3.05000000
36151	ForestDryPoor	3.92000000
36152	ForestDryPoor	2.68000000
36163	ForestDryPoor	2.93000000
36164	ForestDryPoor	3.21000000
36165	ForestDryPoor	1.04000000
36168	ForestDryPoor	1.10000000
36171	ForestDryPoor	3.67000000
36172	ForestDryPoor	1.63000000
36173	ForestDryPoor	2.49000000
36443	ForestDryPoor	3.06000000
36444	ForestDryPoor	1.81000000
36445	ForestDryPoor	2.06000000
36446	ForestDryPoor	3.25000000
36447	ForestDryPoor	3.76000000
36448	ForestDryPoor	1.52000000
36455	ForestDryPoor	1.88000000
36457	ForestDryPoor	3.12000000
36458	ForestDryPoor	1.66000000
36464	ForestDryPoor	2.59000000
36465	ForestDryPoor	3.69000000
36466	ForestDryPoor	2.16000000
36467	ForestDryPoor	1.79000000
36468	ForestDryPoor	3.82000000
36737	ForestDryPoor	3.11000000
36739	ForestDryPoor	2.49000000
36740	ForestDryPoor	2.58000000
36741	ForestDryPoor	3.03000000
36743	ForestDryPoor	3.30000000
36750	ForestDryPoor	3.66000000
36751	ForestDryPoor	2.56000000
36758	ForestDryPoor	3.63000000
36759	ForestDryPoor	3.81000000
36760	ForestDryPoor	3.70000000
36761	ForestDryPoor	1.24000000
37031	ForestDryPoor	2.95000000
37036	ForestDryPoor	3.43000000
37037	ForestDryPoor	2.81000000
37039	ForestDryPoor	3.83000000
37043	ForestDryPoor	2.99000000
37044	ForestDryPoor	1.65000000
37052	ForestDryPoor	2.68000000
37053	ForestDryPoor	3.07000000
37327	ForestDryPoor	2.89000000
37328	ForestDryPoor	3.03000000
37329	ForestDryPoor	2.29000000
37330	ForestDryPoor	2.50000000
37331	ForestDryPoor	3.99000000
37333	ForestDryPoor	2.84000000
37334	ForestDryPoor	2.73000000
37335	ForestDryPoor	3.77000000
37336	ForestDryPoor	3.34000000
37342	ForestDryPoor	2.95000000
37621	ForestDryPoor	1.73000000
37625	ForestDryPoor	2.66000000
37626	ForestDryPoor	3.79000000
37627	ForestDryPoor	3.87000000
37628	ForestDryPoor	2.25000000
37629	ForestDryPoor	1.09000000
37630	ForestDryPoor	1.20000000
37634	ForestDryPoor	1.06000000
38494	ForestDryPoor	1.81000000
38515	ForestDryPoor	1.65000000
38516	ForestDryPoor	3.80000000
