i,j
25342,25343
25342,25637
25343,25344
25343,25638
25344,25345
25344,25639
25345,25346
25345,25640
25346,25347
25346,25641
25347,25348
25347,25642
25348,25349
25348,25643
25349,25350
25349,25644
25350,25351
25350,25645
25351,25352
25351,25646
25352,25353
25352,25647
25353,25354
25353,25648
25354,25355
25354,25649
25355,25356
25355,25650
25356,25357
25356,25651
25357,25358
25357,25652
25358,25359
25358,25653
25359,25360
25359,25654
25360,25655
25363,25364
25363,25658
25364,25365
25364,25659
25365,25660
25583,25584
25583,25878
25584,25879
25603,25604
25604,25899
25606,25607
25606,25901
25607,25902
25611,25612
25611,25906
25612,25613
25612,25907
25613,25614
25613,25908
25614,25615
25614,25909
25615,25616
25615,25910
25616,25617
25616,25911
25617,25618
25617,25912
25618,25619
25618,25913
25619,25620
25619,25914
25620,25621
25620,25915
25621,25622
25621,25916
25622,25623
25622,25917
25623,25624
25623,25918
25624,25625
25624,25919
25625,25920
25632,25633
25632,25927
25633,25634
25633,25928
25634,25635
25634,25929
25635,25636
25635,25930
25636,25637
25636,25931
25637,25638
25637,25932
25638,25639
25638,25933
25639,25640
25639,25934
25640,25641
25640,25935
25641,25642
25641,25936
25642,25643
25642,25937
25643,25644
25643,25938
25644,25645
25644,25939
25645,25646
25645,25940
25646,25647
25646,25941
25647,25648
25647,25942
25648,25649
25648,25943
25649,25650
25649,25944
25650,25651
25650,25945
25651,25652
25651,25946
25652,25653
25652,25947
25653,25654
25653,25948
25654,25655
25654,25949
25655,25950
25657,25658
25657,25952
25658,25659
25658,25953
25659,25660
25659,25954
25660,25955
25877,25878
25877,26172
25878,25879
25878,26173
25899,25900
25899,26194
25900,25901
25900,26195
25901,25902
25901,26196
25902,25903
25902,26197
25903,25904
25903,26198
25904,25905
25904,26199
25905,25906
25905,26200
25906,25907
25906,26201
25907,25908
25907,26202
25908,25909
25908,26203
25909,25910
25909,26204
25910,25911
25910,26205
25911,25912
25911,26206
25912,25913
25912,26207
25913,25914
25913,26208
25914,25915
25914,26209
25915,25916
25915,26210
25916,25917
25916,26211
25917,25918
25917,26212
25918,25919
25918,26213
25919,25920
25919,26214
25920,26215
25927,25928
25928,25929
25928,26223
25929,25930
25929,26224
25930,25931
25930,26225
25931,25932
25931,26226
25932,25933
25932,26227
25933,25934
25933,26228
25934,25935
25934,26229
25935,25936
25935,26230
