network_name	coarse_cell_id	counted_area_ha	total_restorable_ha
Global	114852	1.87000000	1.87000000
Global	115135	1.89000000	1.89000000
Global	115137	2.97000000	2.97000000
Global	115139	1.76000000	1.76000000
Global	115140	1.34000000	1.34000000
Global	115141	1.44000000	1.44000000
Global	115142	2.19000000	2.19000000
Global	115145	2.29000000	2.29000000
Global	115147	2.04000000	2.04000000
Global	115430	1.14000000	1.14000000
Global	115434	2.74000000	2.74000000
Global	115721	2.08000000	2.08000000
Global	116016	2.42000000	2.42000000
Global	116018	1.97000000	1.97000000
Global	116306	1.59000000	1.59000000
Global	116598	2.18000000	2.18000000
Global	116599	2.10000000	2.10000000
Global	116600	1.92000000	1.92000000
Global	116601	3.21000000	3.21000000
Global	116602	3.20000000	3.20000000
Global	116892	2.76000000	2.76000000
Global	116893	1.67000000	1.67000000
Global	116897	3.55000000	3.55000000
Global	117192	3.60000000	3.60000000
Global	117197	2.73000000	2.73000000
Global	117487	3.07000000	3.07000000
Global	117488	3.81000000	3.81000000
Global	117489	3.02000000	3.02000000
Global	117784	1.25000000	1.25000000
Global	118077	3.55000000	3.55000000
Global	118078	1.11000000	1.11000000
Global	118079	3.12000000	3.12000000
Global	118372	1.07000000	1.07000000
Global	118666	2.13000000	2.13000000
Global	119254	1.80000000	1.80000000
Global	119256	2.18000000	2.18000000
Global	119542	2.03000000	2.03000000
Global	119544	3.99000000	3.99000000
Global	119550	1.09000000	1.09000000
Global	119838	1.28000000	1.28000000
Global	119839	4.00000000	4.00000000
Global	120131	1.32000000	1.32000000
Global	120132	2.12000000	2.12000000
Global	120133	1.90000000	1.90000000
Global	120134	2.39000000	2.39000000
Global	120137	2.28000000	2.28000000
Global	120138	2.08000000	2.08000000
Global	120139	1.61000000	1.61000000
Global	120959	1.42000000	1.42000000
Global	121025	1.35000000	1.35000000
Global	121550	2.67000000	2.67000000
Global	121613	3.13000000	3.13000000
Global	121843	1.08000000	1.08000000
Global	121906	2.03000000	2.03000000
Global	122200	3.59000000	3.59000000
Global	122434	1.09000000	1.09000000
Global	122494	2.08000000	2.08000000
Global	122729	1.96000000	1.96000000
Global	122731	3.20000000	3.20000000
Global	122789	1.48000000	1.48000000
Global	123030	1.68000000	1.68000000
Global	123082	2.11000000	2.11000000
Global	123083	2.53000000	2.53000000
Global	123325	1.66000000	1.66000000
Global	123326	2.04000000	2.04000000
Global	123327	1.44000000	1.44000000
Global	123376	1.55000000	1.55000000
Global	123619	2.19000000	2.19000000
Global	123620	1.14000000	1.14000000
Global	123621	1.11000000	1.11000000
Global	123622	1.51000000	1.51000000
Global	123668	3.52000000	3.52000000
Global	123669	2.37000000	2.37000000
Global	123670	1.86000000	1.86000000
Global	123671	3.57000000	3.57000000
Global	123910	1.54000000	1.54000000
Global	123912	1.68000000	1.68000000
Global	123915	1.13000000	1.13000000
Global	123917	2.79000000	2.79000000
Global	123963	1.92000000	1.92000000
Global	123965	3.61000000	3.61000000
Global	124209	2.87000000	2.87000000
Global	124210	3.13000000	3.13000000
Global	124211	2.03000000	2.03000000
Global	124213	2.55000000	2.55000000
Global	124258	1.32000000	1.32000000
Global	124506	1.97000000	1.97000000
Global	124508	1.10000000	1.10000000
Global	124550	1.29000000	1.29000000
Global	124551	1.43000000	1.43000000
Global	124552	2.71000000	2.71000000
Global	124808	3.37000000	3.37000000
Global	124844	1.82000000	1.82000000
Global	125099	1.06000000	1.06000000
Global	125103	2.93000000	2.93000000
Global	125139	1.39000000	1.39000000
Global	125140	1.52000000	1.52000000
Global	125393	2.06000000	2.06000000
Global	125396	2.88000000	2.88000000
Global	125398	1.90000000	1.90000000
Global	125428	3.25000000	3.25000000
Global	125690	1.59000000	1.59000000
Global	125691	3.84000000	3.84000000
Global	125692	3.55000000	3.55000000
Global	125693	2.62000000	2.62000000
Global	125723	1.19000000	1.19000000
Global	125726	2.09000000	2.09000000
Global	125985	1.12000000	1.12000000
Global	125986	1.82000000	1.82000000
Global	125987	2.25000000	2.25000000
Global	126021	1.28000000	1.28000000
Global	126025	1.46000000	1.46000000
Global	126282	1.99000000	1.99000000
Global	126319	1.37000000	1.37000000
Global	126576	1.66000000	1.66000000
Global	126577	1.10000000	1.10000000
Global	126605	2.95000000	2.95000000
Global	126609	2.16000000	2.16000000
Global	126873	1.57000000	1.57000000
Global	126874	3.48000000	3.48000000
Global	127167	2.69000000	2.69000000
Global	127168	1.11000000	1.11000000
Global	127194	2.59000000	2.59000000
Global	127457	2.01000000	2.01000000
Global	127458	3.15000000	3.15000000
Global	127459	2.80000000	2.80000000
Global	127460	3.04000000	3.04000000
Global	127461	1.28000000	1.28000000
Global	127462	1.81000000	1.81000000
Global	127485	2.57000000	2.57000000
Global	127488	2.69000000	2.69000000
Global	127780	1.97000000	1.97000000
Global	127800	1.40000000	1.40000000
Global	128077	3.54000000	3.54000000
Global	128078	1.51000000	1.51000000
Global	128092	2.87000000	2.87000000
Global	128093	3.09000000	3.09000000
Global	128094	2.01000000	2.01000000
Global	128349	3.41000000	3.41000000
Global	128350	2.99000000	2.99000000
Global	128383	1.21000000	1.21000000
Global	128645	2.78000000	2.78000000
Global	128647	1.05000000	1.05000000
Global	128649	2.05000000	2.05000000
Global	128678	1.13000000	1.13000000
Global	128681	3.05000000	3.05000000
Global	128943	1.49000000	1.49000000
Global	128944	1.03000000	1.03000000
Global	128960	1.87000000	1.87000000
Global	128966	1.83000000	1.83000000
Global	129238	3.52000000	3.52000000
Global	129245	1.25000000	1.25000000
Global	129254	2.58000000	2.58000000
Global	129268	1.21000000	1.21000000
Global	129533	3.84000000	3.84000000
Global	129540	2.41000000	2.41000000
Global	129543	1.02000000	1.02000000
Global	129544	2.12000000	2.12000000
Global	129557	1.99000000	1.99000000
Global	129562	3.10000000	3.10000000
Global	129828	3.25000000	3.25000000
Global	129840	1.02000000	1.02000000
Global	129841	1.18000000	1.18000000
Global	129843	1.50000000	1.50000000
Global	129844	2.67000000	2.67000000
Global	129846	1.26000000	1.26000000
Global	129848	1.24000000	1.24000000
Global	129853	1.89000000	1.89000000
Global	129857	1.38000000	1.38000000
