network_name,coarse_cell_id
Subarea3,35877
Subarea3,35878
Subarea3,36151
Subarea3,36163
Subarea3,36164
Subarea3,36165
Subarea3,36168
Subarea3,36171
Subarea3,36172
Subarea3,36444
Subarea3,36445
Subarea3,36446
Subarea3,36447
Subarea3,36448
Subarea3,36457
Subarea3,36458
Subarea3,36464
Subarea3,36465
Subarea3,36466
Subarea3,36467
Subarea3,36468
Subarea3,36739
Subarea3,36740
Subarea3,36741
Subarea3,36743
Subarea3,36750
Subarea3,36751
Subarea3,36758
Subarea3,36759
Subarea3,36760
Subarea3,36761
Subarea3,37036
Subarea3,37037
Subarea3,37039
Subarea3,37043
Subarea3,37044
Subarea3,37052
Subarea3,37053
Subarea3,37327
Subarea3,37328
Subarea3,37329
Subarea3,37330
Subarea3,37331
Subarea3,37333
Subarea3,37334
Subarea3,37335
Subarea3,37336
Subarea3,37625
Subarea3,37626
Subarea3,37627
Subarea3,37628
Subarea3,37629
Subarea3,37630
Subarea3,38515
Subarea3,38516
Subarea3,38810
Subarea3,39399
Subarea3,40577
Subarea3,40578
Subarea3,40579
Subarea3,40872
Subarea3,40873
Subarea3,40874
Subarea3,41168
Subarea3,41169
Subarea3,41461
Subarea3,41462
Subarea3,41463
Subarea3,41464
Subarea4,5285
Subarea4,5580
Subarea4,5875
Subarea4,6170
Subarea4,6465
Subarea4,6760
Subarea4,6761
Subarea4,6762
Subarea4,7056
Subarea4,7057
Subarea4,7346
Subarea4,7347
Subarea4,7352
Subarea4,7641
Subarea4,7642
Subarea4,7647
Subarea4,7935
Subarea4,7936
Subarea4,7937
Subarea4,7940
Subarea4,7941
Subarea4,7942
Subarea4,8231
Subarea4,8232
Subarea4,8233
Subarea4,8528
Subarea4,8822
Subarea4,9111
Subarea4,9112
Subarea4,9407
Subarea4,9408
Subarea4,9409
Subarea4,9410
Subarea4,10287
Subarea4,10293
Subarea4,10582
Subarea4,10587
Subarea4,10588
Subarea4,10878
Subarea4,10879
Subarea4,11170
Subarea4,11172
Subarea4,11173
Subarea4,11467
Subarea4,11757
Subarea4,11758
Subarea4,11759
Subarea4,11762
Subarea4,11765
Subarea4,11767
Subarea4,12051
Subarea4,12052
Subarea4,12053
Subarea4,12054
Subarea4,12057
Subarea4,12060
Subarea4,12062
Subarea4,12348
Subarea4,12349
Subarea4,12350
Subarea4,12352
Subarea4,12355
Subarea4,12641
Subarea4,12642
Subarea4,12643
Subarea4,12644
Subarea4,12645
Subarea4,12647
Subarea4,12648
Subarea4,12650
Subarea4,12651
Subarea4,12937
Subarea4,12938
Subarea4,12940
Subarea4,12941
Subarea4,12942
Subarea4,12943
Subarea4,12944
Subarea4,12946
Subarea4,13234
Subarea4,13236
Subarea4,13237
Subarea4,13239
Subarea4,13528
Subarea4,13529
Subarea4,13530
Subarea4,13531
Subarea4,13532
Subarea4,13826
Subarea4,14119
Subarea4,14120
Subarea4,14121
Subarea4,15005
Subarea4,15300
Subarea4,15594
Subarea4,15595
Subarea4,15889
Subarea4,15890
Subarea4,16183
Subarea4,16184
Subarea4,16476
Subarea4,16477
Subarea4,16478
Subarea4,16479
Subarea4,16773
Subarea4,16774
Subarea4,17068
Subarea4,17069
Subarea4,17362
Subarea4,17363
Subarea4,17364
Subarea4,17365
Subarea4,17658
Subarea4,17659
Subarea4,17660
Subarea4,17661
Subarea4,17955
Subarea4,18842
Subarea4,19137
Subarea4,19432
Subarea4,19433
Subarea4,19727
Subarea4,19728
Subarea4,20021
Subarea4,20022
Subarea4,20315
Subarea4,20316
Subarea4,20317
Subarea4,20611
Subarea4,20612
