coarse_cell_id	landuse	restored_ha	biodiversity	existing_nature_contact_edges
92452	ForestDryRich	1.27000000	173.88410850	0.00000000
97739	ForestDryRich	1.32000000	411.94713264	0.00000000
105123	ForestDryRich	1.63000000	544.17895547	0.00000000
105124	ForestDryRich	3.25000000	1041.20807166	0.00000000
105419	ForestDryRich	3.44000000	849.56893902	0.00000000
105420	ForestDryRich	2.20000000	625.75505322	0.00000000
105715	ForestDryRich	1.19000000	314.11506468	0.00000000
108367	ForestDryRich	1.37000000	593.06657042	0.00000000
108660	ForestDryRich	2.38000000	1114.03161172	0.00000000
108666	ForestDryRich	1.11000000	413.88313132	0.00000000
108667	ForestDryRich	1.68000000	529.46407561	0.00000000
108668	ForestDryRich	1.66000000	349.57726121	0.00000000
108669	ForestDryRich	1.31000000	261.59014247	0.00000000
108955	ForestDryRich	2.78000000	1244.54004238	3.00000000
108956	ForestDryRich	1.76000000	797.63915862	8.00000000
109249	ForestDryRich	1.74000000	784.50934042	0.00000000
109250	ForestDryRich	2.34000000	976.99840646	21.00000000
109543	ForestDryRich	2.95000000	1063.91609045	0.00000000
109544	ForestDryRich	1.80000000	783.43976783	0.00000000
112490	ForestDryRich	1.88000000	617.60738807	0.00000000
127457	ForestDryRich	2.01000000	37.40235304	0.00000000
127458	ForestDryRich	3.15000000	205.56755665	0.00000000
127459	ForestDryRich	2.80000000	244.65354209	0.00000000
127460	ForestDryRich	3.04000000	290.87327529	0.00000000
127461	ForestDryRich	1.28000000	149.72063396	0.00000000
128354	ForestDryRich	3.43000000	326.98726752	0.00000000
128649	ForestDryRich	2.05000000	191.66263644	0.00000000
130444	ForestDryRich	1.53000000	151.75200638	0.00000000
22987	ForestWetPoor	3.87000000	347.90398640	0.00000000
22988	ForestWetPoor	3.92000000	423.64249779	0.00000000
22989	ForestWetPoor	3.63000000	404.74617588	0.00000000
22990	ForestWetPoor	2.48000000	191.86288883	0.00000000
22991	ForestWetPoor	2.95000000	235.90569390	0.00000000
22992	ForestWetPoor	3.20000000	317.55717721	0.00000000
22993	ForestWetPoor	3.34000000	248.26717497	0.00000000
25363	ForestWetPoor	1.77000000	85.33252387	0.00000000
25364	ForestWetPoor	3.94000000	164.90578616	0.00000000
25365	ForestWetPoor	1.87000000	78.26746618	0.00000000
25649	ForestWetPoor	2.52000000	139.63632273	0.00000000
25650	ForestWetPoor	3.97000000	229.75391591	0.00000000
25651	ForestWetPoor	3.88000000	254.74950085	0.00000000
25652	ForestWetPoor	3.75000000	244.85319575	0.00000000
25657	ForestWetPoor	1.75000000	99.50653742	0.00000000
25658	ForestWetPoor	3.60000000	217.86331592	0.00000000
