reclass,Value1,Value2,Count,C_01,SN_Source,SN_NatureTypeCode,C_02,C_03,C_05,C_06,SN_Overall_LandCover,SN_Sub1_NatureLandCover,SN_Sub2_NatureLandCover,SN_Exclude_Modelling,SN_Suitability,SN_ModelClass,SN_Combined_Cat,SN_ForestOpen,ForestShrubOpen,SN_Wet_Dry,SN_Wet_Medium_Dry,SN_Rich_Poor,SN_Calcarious_Acidic,SN_SoilType,SN_Non_native,SN_Deciduous_Coniferous,Coastal_Inland,Comments
12,70,70,32618,50990106,,,"Teknisk areal, Togstation/rangÃ©ranlæg","Technical area, Train station/rail area",150000 Jernbane,150000 Railway,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,71,71,461259,50996401,,,"Jernbane, Synlig","Railway, Visible",150000 Jernbane,150000 Railway,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7,72,72,159611,20612800,TBD,TBD,Krat,Scrub,311000 Skov,311000 Forest,Shrub,Shrub,Shrub,Exclude,Exclude,Exclude,Shrub,NA,Shrub,NA,NA,NA,NA,NA,NA,NA,,
5,73,73,303953,20320800,TBD,TBD,Strandbred,Beach,"321000 Natur, tør","321000 Nature, dry",Open dry,Coastal meadows and related habitats,Coastal meadows and related habitats,Exclude?,Exclude,Exclude,Open dry,Open,Open,Dry,Moist,Both,Both ,,Native,NA,Coastal,"Are unlikely to develop on former field transformed to nature. Hence, could potentially be excluded. "
12,74,74,331,50995400,,,Lav bebyggelse,Low built up,121000 Lav bebyggelse,121000 Low built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
4,75,75,1803331,20320100,Paragraph3,TBD,Hede,Heather,"321000 Natur, tør","321000 Nature, dry",Open dry,Heath,"Grassland, heath and potential grassland",Include,DryPoor,OpenDryPoor,Open dry,Open,Open,Dry,Dry,Poor,Acidic,Sand,Native,NA,Coastal or indland,Paragraph 3 heaths can be both inland or coastal
12,76,76,8615,50997800,,,Begravelsesområde,Burial ground,130000 Rekreativt område / sportsanlæg,130000 Recreation area / sports ground,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10,77,77,974378,20622100,TBD,TBD,Skovfyr,Scotsh pine,311000 Skov,311000 Forest,Forest dry,Forest dry,Forest dry,Include,DryPoor,ForestDryPoor,Forest dry,Forest,Forest,Dry,Dry,Poor,Acidic,,Native,Coniferous,Indiff,
10,78,78,669351,20620500,TBD,TBD,Bjergfyr,Mountain pine,311000 Skov,311000 Forest,Exclude,Non-native,Non-native,Exclude,Exclude,Exclude,Forest dry,Forest,Forest,Dry,Dry,Poor,Acidic,,Non-native,Coniferous,Indiff,
12,79,79,201272,80000200,,,"Matrikel, jernbane","Cadastre, rail",150000 Jernbane,150000 Railway,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,80,80,512,50990205,,,"Bassin, Svømmebassin","Basin, Swimming pool",124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
